company_id,fiscal_year,computed_eps,published_eps,eps_rel_error_pct,computed_pe,published_pe,pe_rel_error_pct,check_scope,source_url
marvell,2027,1.846220,1.773,4.130,116.7061,116,0.609,forecast,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/
marvell,2028,4.634365,4.549,1.877,45.4869,45.4,0.191,forecast,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/
qualcomm,2024,9.104129,8.97,1.495,18.2631,,,historical,https://www.marketscreener.com/quote/stock/QUALCOMM-INCORPORATED-4897/finances/
qualcomm,2025,5.161587,5.01,3.026,32.2130,,,historical,https://www.marketscreener.com/quote/stock/QUALCOMM-INCORPORATED-4897/finances/
qualcomm,2026,12.877554,12.46,3.351,13.3443,13.6,1.880,forecast,https://www.marketscreener.com/quote/stock/QUALCOMM-INCORPORATED-4897/finances/
qualcomm,2027,7.035185,7.01,0.359,23.7190,24.2,1.988,forecast,https://www.marketscreener.com/quote/stock/QUALCOMM-INCORPORATED-4897/finances/
qualcomm,2028,9.873041,10.37,4.792,16.8408,,,forecast,https://www.marketscreener.com/quote/stock/QUALCOMM-INCORPORATED-4897/finances/
analog-devices,2024,3.293098,3.28,0.399,108.0168,,,historical,https://www.marketscreener.com/quote/stock/ANALOG-DEVICES-INC-10345717/finances/
analog-devices,2025,4.608145,4.56,1.056,77.1916,,,historical,https://www.marketscreener.com/quote/stock/ANALOG-DEVICES-INC-10345717/finances/
analog-devices,2026,9.961512,9.897,0.652,35.9412,35.9,0.115,forecast,https://www.marketscreener.com/quote/stock/ANALOG-DEVICES-INC-10345717/finances/
analog-devices,2027,13.350118,13.58,1.693,26.1937,26.2,0.024,forecast,https://www.marketscreener.com/quote/stock/ANALOG-DEVICES-INC-10345717/finances/
analog-devices,2028,15.244601,15.39,0.945,23.3335,,,forecast,https://www.marketscreener.com/quote/stock/ANALOG-DEVICES-INC-10345717/finances/
kioxia,2025,505.163589,520,2.853,100.8782,,,historical,https://www.marketscreener.com/quote/stock/KIOXIA-HOLDINGS-CORPORATI-180030735/finances/
kioxia,2026,1016.178513,1024,0.764,50.1487,,,forecast,https://www.marketscreener.com/quote/stock/KIOXIA-HOLDINGS-CORPORATI-180030735/finances/
kioxia,2027,10250.942036,10431,1.726,4.8854,4.89,0.093,forecast,https://www.marketscreener.com/quote/stock/KIOXIA-HOLDINGS-CORPORATI-180030735/finances/
kioxia,2028,13821.911809,14294,3.303,3.5651,3.57,0.136,forecast,https://www.marketscreener.com/quote/stock/KIOXIA-HOLDINGS-CORPORATI-180030735/finances/
tokyo-electron,2024,786.258520,783.8,0.314,67.7894,,,historical,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/
tokyo-electron,2025,1187.894731,1182,0.499,44.8693,,,historical,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/
tokyo-electron,2026,1263.135906,1255,0.648,42.1966,,,forecast,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/
tokyo-electron,2027,1700.216210,1700,0.013,31.3529,31.2,0.490,forecast,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/
tokyo-electron,2028,2276.392222,2324,2.049,22.9346,22.8,0.590,forecast,https://www.marketscreener.com/quote/stock/TOKYO-ELECTRON-LIMITED-6491071/finances/
advantest,2024,84.383670,84.45,0.079,382.5385,,,historical,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/
advantest,2025,219.693748,218.7,0.454,146.9318,,,historical,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/
advantest,2026,517.164745,515.2,0.381,62.4172,,,forecast,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/
advantest,2027,917.569333,916.6,0.106,35.2171,35.5,0.797,forecast,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/
advantest,2028,1137.843490,1140,0.189,28.3158,28.5,0.646,forecast,https://www.marketscreener.com/quote/stock/ADVANTEST-CORPORATION-6492081/finances/
sony,2024,158.251644,157.7,0.350,24.6127,,,historical,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/
sony,2025,189.349112,188.7,0.344,20.5705,,,historical,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/
sony,2026,-55.335570,-54.7,1.162,,,,forecast,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/
sony,2027,216.146482,217,0.393,17.9493,18.1,0.833,forecast,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/
sony,2028,228.090705,230.5,1.045,16.8980,17,0.600,forecast,https://www.marketscreener.com/quote/stock/SONY-GROUP-CORPORATION-6492482/finances/
cambricon,2024,-0.727579,-0.7315,0.536,,,,historical,https://www.marketscreener.com/quote/stock/CAMBRICON-TECHNOLOGIES-CO-111379938/finances/
cambricon,2025,3.277040,3.275,0.062,338.4152,,,historical,https://www.marketscreener.com/quote/stock/CAMBRICON-TECHNOLOGIES-CO-111379938/finances/
cambricon,2026,8.576122,8.83,2.875,125.5946,125,0.476,forecast,https://www.marketscreener.com/quote/stock/CAMBRICON-TECHNOLOGIES-CO-111379938/finances/
cambricon,2027,18.145469,18.19,0.245,60.9676,60.9,0.111,forecast,https://www.marketscreener.com/quote/stock/CAMBRICON-TECHNOLOGIES-CO-111379938/finances/
cambricon,2028,30.382519,30.4,0.058,36.5013,,,forecast,https://www.marketscreener.com/quote/stock/CAMBRICON-TECHNOLOGIES-CO-111379938/finances/
ase,2024,7.486075,7.23,3.542,78.6794,,,historical,https://www.marketscreener.com/quote/stock/ASE-TECHNOLOGY-HOLDING-CO-43344229/finances/
ase,2025,9.317235,8.89,4.806,63.2162,,,historical,https://www.marketscreener.com/quote/stock/ASE-TECHNOLOGY-HOLDING-CO-43344229/finances/
ase,2026,18.823316,18.61,1.146,31.6497,31.6,0.157,forecast,https://www.marketscreener.com/quote/stock/ASE-TECHNOLOGY-HOLDING-CO-43344229/finances/
