company_id,calendar_year,reporting_currency,fiscal_year_weight,next_fiscal_year_weight,eps,eps_usd,fcf_per_share,fcf_per_share_usd,usd_per_reporting_currency,eps_usd_method,fcf_per_share_usd_method,pe,ev_to_fcf,net_leverage,calculation_quality,tail_imputed,missing_input_count,earnings_basis,valuation_date,forecast_source_date
sony,2027,JPY,0.246575,0.753425,227.1712,1.4561,194.7837,1.2485,0.006409690414,official-fx,official-fx,17.15,17.91,-0.91,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
sony,2028,JPY,0.248634,0.751366,238.8402,1.5309,201.4313,1.2911,0.006409690414,official-fx,official-fx,16.31,16.6,-1.22,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
cambricon,2027,CNY,1,0,18.19,2.7072,-14.7615,-2.197,0.148830117116,official-fx,official-fx,60.97,,-0.85,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
cambricon,2028,CNY,1,0,30.4,4.5244,,,0.148830117116,official-fx,,36.48,,-0.93,partial,0,1,published-consensus-eps,2026-09-03,2026-09-03
ase,2027,TWD,1,0,27.81,0.8758,-18.6496,-0.5873,0.031491103763,official-fx,official-fx,21.18,,1.44,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
ase,2028,TWD,1,0,36.06,1.1356,-3.9869,-0.1256,0.031491103763,official-fx,official-fx,16.33,,1.26,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
hygon,2027,CNY,1,0,3.058,0.4551,5.1948,0.7731,0.148830117116,official-fx,official-fx,80.84,47.12,-0.56,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
hygon,2028,CNY,1,0,4.651,0.6922,6.7028,0.9976,0.148830117116,official-fx,official-fx,53.15,36.3,-0.64,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
infineon,2027,EUR,0.747945,0.252055,2.6351,3.0607,1.5333,1.781,1.1615,official-fx,official-fx,20.83,37.43,0.47,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
infineon,2028,EUR,0.748634,0.251366,3.306,3.8399,2.2221,2.581,1.1615,official-fx,official-fx,16.6,25.45,0.27,flat-tail,1,0,published-consensus-eps,2026-09-03,2026-09-03
cadence,2027,USD,1,0,5.886,5.886,8.3771,8.3771,1,reported-usd,reported-usd,52.1,36.28,-0.22,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
cadence,2028,USD,1,0,7.024,7.024,9.7134,9.7134,1,reported-usd,reported-usd,43.66,30.84,-0.49,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
synopsys,2027,USD,0.832877,0.167123,7.7599,7.7599,15.7029,15.7029,1,reported-usd,reported-usd,53.57,27.94,0.97,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
synopsys,2028,USD,0.833333,0.166667,10.62,10.62,16.5939,16.5939,1,reported-usd,reported-usd,39.14,25.71,0.43,flat-tail,1,0,published-consensus-eps,2026-09-03,2026-09-03
lumentum,2027,USD,0.50411,0.49589,26.6548,26.6548,20.2826,20.2826,1,reported-usd,reported-usd,32.66,41.38,-0.79,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
lumentum,2028,USD,0.5,0.5,41.08,41.08,38.2107,38.2107,1,reported-usd,reported-usd,21.19,21.09,-1.09,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
smic,2027,USD,1,0,0.2135,0.2135,-0.0232,-0.0232,1,reported-usd,reported-usd,40.22,,1.01,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
