company_id,fiscal_year,fiscal_period,reporting_currency,net_income,income_scale,ebitda,fcf,fcf_scale,net_debt,net_debt_scale,diluted_shares_thousands,source_eps,share_source_method,source_url,source_retrieved_at
asml,2026,December,EUR,14722,Million,18823,9240,Million,-13952,Million,384052,37.88,published diluted share count,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/,2026-09-03
asml,2027,December,EUR,19425,Million,24898,16727,Million,-21525,Million,384052,51.54,published diluted share count,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/,2026-09-03
asml,2028,December,EUR,24197,Million,31147,20431,Million,-32704,Million,384052,66.73,published diluted share count,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/,2026-09-03
cxmt,2025,December,CNY,1875,Million,,,Million,,Million,,0.03,published diluted share count,https://www.marketscreener.com/quote/stock/CXMT-CORPORATION-213965109/finances/,2026-09-03
cxmt,2026,December,CNY,199108,Million,333935,243292,Million,-179491,Million,60192797,3.068,published diluted share count,https://www.marketscreener.com/quote/stock/CXMT-CORPORATION-213965109/finances/,2026-09-03
cxmt,2027,December,CNY,300635,Million,488495,301434,Million,-503351,Million,60192797,4.754,published diluted share count,https://www.marketscreener.com/quote/stock/CXMT-CORPORATION-213965109/finances/,2026-09-03
intel,2024,December,USD,-18756,Million,11125,-15656,Million,27949,Million,4313000,-4.38,published diluted share count,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/,2026-09-03
intel,2025,December,USD,-267,Million,14622,-4949,Million,9169,Million,4770000,-0.06,published diluted share count,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/,2026-09-03
intel,2026,December,USD,-11799,Million,22648,-1598,Million,22630,Million,5254526,-2.307,published diluted share count,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/,2026-09-03
intel,2027,December,USD,8047,Million,28286,-1448,Million,21573,Million,5254526,1.588,published diluted share count,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/,2026-09-03
intel,2028,December,USD,13430,Million,35154,3531,Million,10942,Million,5254526,2.05,published diluted share count,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/,2026-09-03
lam-research,2024,June,USD,3828,Million,4872,4256,Million,-865,Million,1307410,2.9,published diluted share count,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/,2026-09-03
lam-research,2025,June,USD,5358,Million,6343,5414,Million,-1906,Million,1279118,4.15,published diluted share count,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/,2026-09-03
lam-research,2026,June,USD,7265,Million,8762,4891,Million,-1845,Million,1250571,5.76,published diluted share count,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/,2026-09-03
lam-research,2027,June,USD,11779,Million,14040,9179,Million,-6017,Million,1251321,9.406,published diluted share count,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/,2026-09-03
lam-research,2028,June,USD,14566,Million,16509,12249,Million,-10609,Million,1251321,11.65,published diluted share count,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/,2026-09-03
